Cod,Favela_completa,Sigla,Favela,Municipio,Domicilios
29156010004,Vista da Pedra - Itamaraju (BA),BA,Vista da Pedra,Itamaraju,251
29156010006,Lixão - Itamaraju (BA),BA,Lixão,Itamaraju,287
29161040001,Marcelino - Itaparica (BA),BA,Marcelino,Itaparica,966
29161040003,Amoreiras - Itaparica (BA),BA,Amoreiras,Itaparica,1515
29161040004,Barro Branco - Itaparica (BA),BA,Barro Branco,Itaparica,227
29175080002,Serrinha / Mundo Novo - Jacobina (BA),BA,Serrinha / Mundo Novo,Jacobina,305
29175080003,Bananeira/Coxo de Fora - Jacobina (BA),BA,Bananeira/Coxo de Fora,Jacobina,381
29175080005,Caeira - Jacobina (BA),BA,Caeira,Jacobina,397
29175080006,Leader/Bananeira - Jacobina (BA),BA,Leader/Bananeira,Jacobina,919
29175080007,Peru - Jacobina (BA),BA,Peru,Jacobina,349
29175080008,Vila Feliz - Jacobina (BA),BA,Vila Feliz,Jacobina,424
29180010002,Beira Rio / Mandacaru - Jequié (BA),BA,Beira Rio / Mandacaru,Jequié,293
29180010003,Pedreira - Jequié (BA),BA,Pedreira,Jequié,310
29180010004,Sol Nascente / Primavera / Loteamento Florestal - Jequié (BA),BA,Sol Nascente / Primavera / Loteamento Florestal,Jequié,164
29180010005,Vila Vitória - Jequié (BA),BA,Vila Vitória,Jequié,399
29180010006,Pompílio Sampaio - Jequié (BA),BA,Pompílio Sampaio,Jequié,199
29180010007,Beira Rio KM 03 - Jequié (BA),BA,Beira Rio KM 03,Jequié,313
29180010008,Parte de cima do KM 03 - Jequié (BA),BA,Parte de cima do KM 03,Jequié,299
29180010011,Alto da Rua Miguel Gomes - Jequié (BA),BA,Alto da Rua Miguel Gomes,Jequié,247
29180010012,Final da Avenida Senhor do Bonfim - Jequié (BA),BA,Final da Avenida Senhor do Bonfim,Jequié,129
29180010014,Fundo do Loteamento Amaralina - Jequié (BA),BA,Fundo do Loteamento Amaralina,Jequié,232
29180010017,Parte de baixo da Rua Argemiro Melo - Jequié (BA),BA,Parte de baixo da Rua Argemiro Melo,Jequié,250
29180010018,Parte de Cima do KM 04 - Jequié (BA),BA,Parte de Cima do KM 04,Jequié,321
29180010019,Rua São Luis - Jequié (BA),BA,Rua São Luis,Jequié,122
29180010021,Zimbrune - Jequié (BA),BA,Zimbrune,Jequié,627
29192070001,Lagoa dos Patos II - Lauro de Freitas (BA),BA,Lagoa dos Patos II,Lauro de Freitas,1616
29192070005,Pouso Alegre - Lauro de Freitas (BA),BA,Pouso Alegre,Lauro de Freitas,3531
29192070010,Lagoa do Patos / Chafariz - Lauro de Freitas (BA),BA,Lagoa do Patos / Chafariz,Lauro de Freitas,592
29192070012,Jardim Metrópole - Lauro de Freitas (BA),BA,Jardim Metrópole,Lauro de Freitas,1033
29192070013,Xangô - Oxalá - Lauro de Freitas (BA),BA,Xangô - Oxalá,Lauro de Freitas,245
29192070014,Mangueira - Lauro de Freitas (BA),BA,Mangueira,Lauro de Freitas,348
29192070016,Pedrita - Lauro de Freitas (BA),BA,Pedrita,Lauro de Freitas,909
29192070017,Fonte das Pedras - Lauro de Freitas (BA),BA,Fonte das Pedras,Lauro de Freitas,211
29192070018,Queira Deus - Lauro de Freitas (BA),BA,Queira Deus,Lauro de Freitas,189
29192070019,Jardim Picuaia - Lauro de Freitas (BA),BA,Jardim Picuaia,Lauro de Freitas,520
